RF_GHz,MeasuredPower_dBm
6,-19.02
6.1,-18.9
6.2,-19.16
6.3,-19.32
6.4,-18.86
6.5,-19.11
6.6,-19.33
6.7,-18.43
6.8,-18.74
6.9,-18.7
7,-17.82
7.1,-17.57
7.2,-17.69
7.3,-16.3
7.4,-16.18
7.5,-15.8
7.6,-14.84
7.7,-14.73
7.8,-14.85
7.9,-14.27
8,-14.31
8.1,-15.12
8.2,-15.14
8.3,-15.22
8.4,-15.61
8.5,-15.96
8.6,-15.93
8.7,-16.37
8.8,-16.53
8.9,-16.83
9,-17.38
9.1,-17.61
9.2,-17.79
9.3,-18.65
9.4,-18.69
9.5,-19.44
9.6,-19.38
9.7,-19.71
9.8,-20
9.9,-19.88
10,-19.92
10.1,-20.59
10.2,-20.53
10.3,-20.55
10.4,-21.4
10.5,-20.55
10.6,-21.57
10.7,-21.71
10.8,-20.96
10.9,-21.67
11,-21.66
11.1,-20.75
11.2,-21.4
11.3,-21.59
11.4,-21.49
11.5,-21.45
11.6,-21.21
11.7,-20.14
11.8,-20.08
11.9,-20.03
12,-20.02
