RF_GHz,MeasuredPower_dBm
6,-11.06
6.1,-12.01
6.2,-12.16
6.3,-12.21
6.4,-12.86
6.5,-13.08
6.6,-13.07
6.7,-13.64
6.8,-14.18
6.9,-14.38
7,-14.93
7.1,-15.43
7.2,-15.64
7.3,-16
7.4,-17.04
7.5,-17.42
7.6,-17.58
7.7,-18.13
7.8,-18.1
7.9,-17.95
8,-18.95
8.1,-19.36
8.2,-18.94
8.3,-19.35
8.4,-18.97
8.5,-18.84
8.6,-19.15
8.7,-19.8
8.8,-19.42
8.9,-19.25
9,-19.15
9.1,-19.09
9.2,-19.14
9.3,-19.97
9.4,-19.24
9.5,-19.91
9.6,-19.26
9.7,-18.41
9.8,-18.57
9.9,-18.78
10,-19.83
10.1,-18.67
10.2,-18.76
10.3,-17.63
10.4,-17.62
10.5,-18.03
10.6,-19.03
10.7,-18.22
10.8,-17.3
10.9,-16.97
11,-16.84
11.1,-17.14
11.2,-17.53
11.3,-17.14
11.4,-16.55
11.5,-16.13
11.6,-16.31
11.7,-16.63
11.8,-15.58
11.9,-14.72
12,-16.08
