RF_GHz,MeasuredPower_dBm
6,NaN
6.1,NaN
6.2,NaN
6.3,NaN
6.4,NaN
6.5,NaN
6.6,NaN
6.7,NaN
6.8,NaN
6.9,NaN
7,NaN
7.1,NaN
7.2,NaN
7.3,NaN
7.4,NaN
7.5,NaN
7.6,NaN
7.7,NaN
7.8,NaN
7.9,NaN
8,NaN
8.1,NaN
8.2,NaN
8.3,NaN
8.4,NaN
8.5,NaN
8.6,NaN
8.7,NaN
8.8,NaN
8.9,NaN
9,NaN
9.1,NaN
9.2,NaN
9.3,NaN
9.4,NaN
9.5,NaN
9.6,NaN
9.7,NaN
9.8,NaN
9.9,NaN
10,NaN
10.1,NaN
10.2,NaN
10.3,NaN
10.4,NaN
10.5,NaN
10.6,NaN
10.7,NaN
10.8,NaN
10.9,NaN
11,NaN
11.1,NaN
11.2,NaN
11.3,NaN
11.4,NaN
11.5,NaN
11.6,NaN
11.7,NaN
11.8,NaN
11.9,NaN
12,NaN
