RF_GHz,MeasuredPower_dBm
6,-13.93
6.1,-14.64
6.2,-14.71
6.3,-14.64
6.4,-15.14
6.5,-15.27
6.6,-15.21
6.7,-15.53
6.8,-15.91
6.9,-15.93
7,-16.23
7.1,-16.72
7.2,-16.91
7.3,-17.08
7.4,-18.03
7.5,-18.37
7.6,-18.32
7.7,-18.91
7.8,-18.82
7.9,-18.74
8,-19.2
8.1,-19.35
8.2,-18.94
8.3,-19.51
8.4,-19.27
8.5,-19.26
8.6,-19.15
8.7,-19.81
8.8,-19.4
8.9,-19.23
9,-19.14
9.1,-19.12
9.2,-19.12
9.3,-19.93
9.4,-19.27
9.5,-19.89
9.6,-19.49
9.7,-19.1
9.8,-19.12
9.9,-19.37
10,-19.8
10.1,-18.93
10.2,-19.01
10.3,-18.51
10.4,-18.58
10.5,-18.38
10.6,-19.04
10.7,-18.27
10.8,-18.2
10.9,-18.65
11,-18.51
11.1,-18.08
11.2,-18.25
11.3,-18.39
11.4,-17.98
11.5,-17.5
11.6,-17.44
11.7,-17.52
11.8,-16.99
11.9,-16.59
12,-17.06
